Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,raw
1700075610.3868165,0,1700075610,346233129,IMU1_Frame,0,1700075610,346233129,IMU1_Frame,-0.03130833462597665,-0.0020155219212086746,0.9986947217532115,0.04030606153680206,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00016,-0.001531,-0.000116,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.556,0.063,-9.65,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,346233129,IMU1_Frame,-2.412e-05,-1.7100000000000001e-06,3.135e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.366,+003.576,-000.376,-00.2412,-00.0171,+00.3135,+00.556,+00.063,-09.650,+00.000160,-00.001531,-00.000116*63
"
1700075610.386867,0,1700075610,371249675,IMU1_Frame,0,1700075610,371249675,IMU1_Frame,-0.03128217146609871,-0.0020168554754067545,0.9986958858186472,0.04029746507244404,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001646,-0.000536,7.9e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.574,0.059,-9.601,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,371249675,IMU1_Frame,-2.399e-05,-1.59e-06,3.136e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.367,+003.573,-000.376,-00.2399,-00.0159,+00.3136,+00.574,+00.059,-09.601,-00.001646,-00.000536,+00.000079*6B
"
1700075610.4318483,0,1700075610,396123170,IMU1_Frame,0,1700075610,396123170,IMU1_Frame,-0.03127377256842041,-0.0020264700195485874,0.9986968419812114,0.04027980120797383,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001377,0.0003,0.001597,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.578,0.076,-9.63,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,396123170,IMU1_Frame,-2.387e-05,-1.65e-06,3.166e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.369,+003.572,-000.377,-00.2387,-00.0165,+00.3166,+00.578,+00.076,-09.630,-00.001377,+00.000300,+00.001597*65
"
1700075610.4319186,0,1700075610,421297311,IMU1_Frame,0,1700075610,421297311,IMU1_Frame,-0.03126609396179948,-0.00205324199196633,0.998697410597955,0.04027030705909688,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001718,8.8e-05,0.00051,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.598,0.093,-9.637,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,421297311,IMU1_Frame,-2.374e-05,-1.26e-06,3.115e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.370,+003.571,-000.380,-00.2374,-00.0126,+00.3115,+00.598,+00.093,-09.637,-00.001718,+00.000088,+00.000510*6B
"
1700075610.4745297,0,1700075610,446058988,IMU1_Frame,0,1700075610,446058988,IMU1_Frame,-0.03126677873526892,-0.002070945403895353,0.9986977259919464,0.04026104607643743,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000191,-0.000275,0.000538,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.619,0.11,-9.626,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,446058988,IMU1_Frame,-2.387e-05,-1.59e-06,3.137e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.371,+003.571,-000.382,-00.2387,-00.0159,+00.3137,+00.619,+00.110,-09.626,-00.000191,-00.000275,+00.000538*66
"
1700075610.4745433,0,1700075610,471142292,IMU1_Frame,0,1700075610,471142292,IMU1_Frame,-0.03128559612975427,-0.002105373218440828,0.9986974632508578,0.040251158675477114,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.3e-05,-0.000277,0.000808,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.629,0.076,-9.602,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,471142292,IMU1_Frame,-2.393e-05,-1.59e-06,3.1440000000000004e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.372,+003.573,-000.386,-00.2393,-00.0159,+00.3144,+00.629,+00.076,-09.602,+00.000033,-00.000277,+00.000808*65
"
1700075610.522737,0,1700075610,496049880,IMU1_Frame,0,1700075610,496049880,IMU1_Frame,-0.03129466259012299,-0.002113735406446005,0.9986971741592964,0.04025084523631701,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00209,-0.001224,0.000162,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.639,0.079,-9.67,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,496049880,IMU1_Frame,-2.3919999999999998e-05,-1.06e-06,3.136e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.372,+003.574,-000.387,-00.2392,-00.0106,+00.3136,+00.639,+00.079,-09.670,+00.002090,-00.001224,+00.000162*6F
"
1700075610.570696,0,1700075610,521191596,IMU1_Frame,0,1700075610,521191596,IMU1_Frame,-0.03132042020679397,-0.0021045075061156366,0.9986970824197753,0.04023356673792614,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00098,0.001219,0.000686,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.627,0.076,-9.67,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,521191596,IMU1_Frame,-2.393e-05,-1.65e-06,3.1219999999999996e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.374,+003.577,-000.386,-00.2393,-00.0165,+00.3122,+00.627,+00.076,-09.670,+00.000980,+00.001219,+00.000686*65
"
1700075610.5707185,0,1700075610,547091245,IMU1_Frame,0,1700075610,547091245,IMU1_Frame,-0.031337499501641546,-0.0020950863593123927,0.9986965586874402,0.04023375950611893,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000177,0.000841,0.000528,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.627,0.051,-9.666,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,547091245,IMU1_Frame,-2.399e-05,-1.52e-06,3.151e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.374,+003.579,-000.385,-00.2399,-00.0152,+00.3151,+00.627,+00.051,-09.666,+00.000177,+00.000841,+00.000528*61
"
1700075610.6147563,0,1700075610,571034193,IMU1_Frame,0,1700075610,571034193,IMU1_Frame,-0.03135385851629746,-0.002068508300939191,0.9986964218863443,0.040225784528853815,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.9e-05,0.000763,4.1e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.626,0.021,-9.605,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,571034193,IMU1_Frame,-2.399e-05,-1.3899999999999998e-06,3.129e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.375,+003.581,-000.382,-00.2399,-00.0139,+00.3129,+00.626,+00.021,-09.605,+00.000059,+00.000763,+00.000041*69
"
