Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Letter,Zone
1700075886.3800817,0,69486,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:06,T,19
1700075889.3890529,0,69489,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:09,T,19
1700075890.380197,0,69490,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:10,T,19
1700075891.3680413,0,69491,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:11,T,19
1700075893.4203126,0,69493,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:13,T,19
1700075894.3761375,0,69494,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:14,T,19
1700075895.3685923,0,69495,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:15,T,19
1700075896.3958426,0,69496,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:16,T,19
1700075899.3721006,0,69499,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:19,T,19
1700075900.3918848,0,69500,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.1875,4689340.0,19:18:20,T,19
1700075901.3845823,0,69501,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.34375,4689340.0,19:18:21,T,19
1700075904.3927348,0,69504,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.34375,4689340.0,19:18:24,T,19
1700075905.3843138,0,69505,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.34375,4689340.0,19:18:25,T,19
1700075906.376399,0,69506,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.399999618530273,1.0,327863.34375,4689340.0,19:18:26,T,19
1700075909.3842323,0,69509,0,GPS1_frame,42.337303161621094,-71.08953857421875,12.100000381469727,1.0,327862.84375,4689342.0,19:18:29,T,19
1700075910.377057,0,69510,0,GPS1_frame,42.337318420410156,-71.08954620361328,12.0,1.0,327862.0625,4689344.0,19:18:30,T,19
1700075911.36834,0,69511,0,GPS1_frame,42.337345123291016,-71.08956146240234,12.0,1.0,327861.03125,4689347.0,19:18:31,T,19
1700075914.4086454,0,69514,0,GPS1_frame,42.33745574951172,-71.0896224975586,12.0,1.0,327856.09375,4689359.0,19:18:34,T,19
1700075915.3720238,0,69515,0,GPS1_frame,42.337501525878906,-71.08964538574219,12.0,1.0,327854.3125,4689364.5,19:18:35,T,19
1700075916.4245744,0,69516,0,GPS1_frame,42.33754348754883,-71.08966827392578,12.100000381469727,1.0,327852.375,4689369.0,19:18:36,T,19
1700075919.3690004,0,69519,0,GPS1_frame,42.3376579284668,-71.0897216796875,12.199999809265137,1.0,327848.28125,4689382.0,19:18:39,T,19
1700075920.3925385,0,69520,0,GPS1_frame,42.33768844604492,-71.08973693847656,12.300000190734863,1.0,327847.125,4689385.5,19:18:40,T,19
1700075921.384427,0,69521,0,GPS1_frame,42.33772277832031,-71.08975982666016,12.300000190734863,1.0,327845.84375,4689389.5,19:18:41,T,19
1700075923.4044337,0,69523,0,GPS1_frame,42.33780288696289,-71.08978271484375,12.800000190734863,1.0,327843.875,4689398.5,19:18:43,T,19
1700075924.392386,0,69524,0,GPS1_frame,42.33784866333008,-71.08979797363281,12.800000190734863,1.0,327842.90625,4689403.5,19:18:44,T,19
1700075925.3844793,0,69525,0,GPS1_frame,42.33789825439453,-71.08980560302734,13.100000381469727,1.0,327842.21875,4689409.0,19:18:45,T,19
1700075926.3763194,0,69526,0,GPS1_frame,42.33795166015625,-71.08981323242188,13.600000381469727,1.0,327841.65625,4689414.5,19:18:46,T,19
1700075929.3840837,0,69529,0,GPS1_frame,42.338111877441406,-71.08985137939453,14.100000381469727,1.0,327839.375,4689433.0,19:18:49,T,19
1700075930.375784,0,69530,0,GPS1_frame,42.33816909790039,-71.0898666381836,14.399999618530273,1.0,327838.28125,4689439.0,19:18:50,T,19
1700075931.3683453,0,69531,0,GPS1_frame,42.338226318359375,-71.08988189697266,14.5,1.0,327837.0625,4689445.5,19:18:51,T,19
1700075934.3801706,0,69534,0,GPS1_frame,42.33840560913086,-71.08995819091797,14.899999618530273,1.0,327830.96875,4689465.5,19:18:54,T,19
1700075935.3723059,0,69535,0,GPS1_frame,42.33846664428711,-71.0899887084961,14.699999809265137,1.2000000476837158,327828.53125,4689472.5,19:18:55,T,19
1700075936.392979,0,69536,0,GPS1_frame,42.338531494140625,-71.09001922607422,14.800000190734863,1.0,327826.21875,4689479.5,19:18:56,T,19
1700075939.3685896,0,69539,0,GPS1_frame,42.33871841430664,-71.09010314941406,15.100000381469727,1.0,327819.875,4689500.5,19:18:59,T,19
1700075940.3960469,0,69540,0,GPS1_frame,42.33879089355469,-71.09014129638672,14.5,1.0,327817.3125,4689508.5,19:19:00,T,19
1700075941.3840082,0,69541,0,GPS1_frame,42.33885955810547,-71.09017181396484,14.100000381469727,1.0,327814.625,4689516.5,19:19:01,T,19
